ufn,spp,date,site.id,survey.id,seine.id,weight,length.lab,length.field,licing.protocol,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments
U2533,PI,15/06/07,J09,JE159,JN259,18.9,129,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,1,2,1,0,0,0,0,0,0,NA
U2864,PI,15/06/07,J09,JE159,JN259,22.6,132,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2865,PI,15/06/07,J09,JE159,JN259,11.6,111,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2866,PI,15/06/07,J09,JE159,JN259,18.7,124,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2867,PI,15/06/07,J09,JE159,JN259,18.3,126,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2868,PI,15/06/07,J09,JE159,JN259,18.8,124,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,1,0,2,0,0,0,0,0,0,0,NA
U2869,PI,15/06/07,J09,JE159,JN259,11.3,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U2870,PI,15/06/07,J09,JE159,JN259,17.4,123,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,1,1,0,2,0,0,0,0,0,0,0,NA
U4710,SO,15/06/07,J09,JE159,JN259,12.8,113,NA,lab_motiles,NA,NA,NA,NA,NA,NA,3,0,0,1,4,0,0,0,0,0,0,0,NA
U4711,SO,15/06/07,J09,JE159,JN259,16.3,123,NA,lab_motiles,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA
U4712,SO,15/06/07,J09,JE159,JN259,13.8,116,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U4713,SO,15/06/07,J09,JE159,JN259,14.3,120,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U4720,SO,15/06/07,J09,JE159,JN259,12.2,109,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,1,2,0,0,0,0,0,0,0,NA
U4721,SO,15/06/07,J09,JE159,JN259,11.6,108,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U4722,SO,15/06/07,J09,JE159,JN259,11.7,105,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U4723,SO,15/06/07,J09,JE159,JN259,13.7,112,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U4756,SO,15/06/07,J09,JE159,JN259,11,110,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
