ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field
U4838,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.6,101,NA
U4874,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.7,100,NA
U4875,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.9,104,NA
U4876,SO,2015-05-16,D06,DE106,DN206,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,12.1,107,NA
U297,SO,2015-05-16,D06,DE106,DN206,1,0,NA,3,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,7.5,88,NA
U296,SO,2015-05-16,D06,DE106,DN206,0,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.5,99,NA
U304,SO,2015-05-16,D06,DE106,DN206,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.4,89,NA
U306,SO,2015-05-16,D06,DE106,DN206,1,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.2,103,NA
U316,SO,2015-05-16,D06,DE106,DN206,0,0,NA,3,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.2,91,NA
U321,SO,2015-05-16,D06,DE106,DN206,0,0,NA,5,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.7,104,NA
U298,SO,2015-05-16,D06,DE106,DN206,1,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11.7,101,NA
U315,SO,2015-05-16,D06,DE106,DN206,0,0,NA,3,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,18.4,120,NA
