"","year","spp","site.region","site_id","collection","ufn","all.cal","all.leps","all.lice"
"153","2015","SO","J","J02","6","U657",1,0,1
"154","2015","SO","J","J02","6","U625",2,0,2
"155","2015","SO","J","J02","6","U654",0,1,1
"156","2015","SO","J","J02","6","U648",2,0,2
"157","2015","CU","J","J09","7","U2512",0,0,0
"158","2015","CU","J","J09","7","U2630",2,0,2
"159","2015","CU","J","J09","7","U2631",3,0,3
"160","2015","CU","J","J09","7","U2632",0,0,0
"161","2015","CU","J","J09","7","U2825",1,0,1
"162","2015","CU","J","J09","7","U2913",1,0,1
"163","2015","PI","J","J09","7","U2523",1,0,1
"164","2015","PI","J","J09","7","U2524",1,1,2
"165","2015","PI","J","J09","7","U2851",0,0,0
"166","2015","PI","J","J09","7","U2852",1,2,3
"167","2015","PI","J","J09","7","U2853",0,0,0
"168","2015","PI","J","J09","7","U2854",0,1,1
"169","2015","PI","J","J09","7","U2855",1,0,1
"170","2015","PI","J","J09","7","U2856",2,1,3
"171","2015","PI","J","J09","7","U2857",0,0,0
"172","2015","PI","J","J09","7","U2858",1,0,1
"173","2015","SO","J","J09","7","U1335",0,0,0
"174","2015","SO","J","J09","7","U1337",0,0,0
"175","2015","SO","J","J09","7","U1338",1,0,1
"176","2015","SO","J","J09","7","U1342",0,0,0
"177","2015","SO","J","J09","7","U1353",3,0,3
"178","2015","SO","J","J09","7","U1356",0,0,0
"179","2015","SO","J","J09","7","U1336",1,0,1
"180","2015","SO","J","J09","7","U1341",2,0,2
"181","2015","SO","J","J09","7","U1355",1,0,1
"182","2015","SO","J","J09","7","U1362",1,0,1
"183","2015","SO","J","J09","7","U1363",0,0,0
"184","2015","SO","J","J09","7","U1354",3,0,3
"185","2015","CU","D","D09","8","U2920",0,0,0
"186","2015","CU","D","D09","8","U2924",0,0,0
"187","2015","CU","D","D09","8","U3009",0,0,0
"188","2015","CU","D","D09","8","U3010",0,0,0
"189","2015","CU","D","D09","8","U3013",0,2,2
"190","2015","PI","D","D09","8","U2514",0,3,3
"191","2015","PI","D","D09","8","U2515",2,0,2
"192","2015","PI","D","D09","8","U2516",1,2,3
"193","2015","PI","D","D09","8","U2834",1,1,2
"194","2015","PI","D","D09","8","U2835",2,4,6
"195","2015","PI","D","D09","8","U2836",1,2,3
"196","2015","PI","D","D09","8","U2837",0,0,0
"197","2015","SO","D","D09","8","U874",1,0,1
"198","2015","SO","D","D09","8","U875",1,0,1
"199","2015","SO","D","D09","8","U853",5,0,5
"200","2015","SO","D","D09","8","U872",0,0,0
"201","2015","SO","D","D09","8","U873",1,0,1
"202","2015","SO","D","D09","8","U904",1,0,1
"203","2015","SO","D","D09","8","U905",2,0,2
"204","2015","SO","D","D09","8","U906",0,0,0
"205","2015","SO","D","D09","8","U913",1,0,1
"206","2015","SO","D","D09","8","U912",0,0,0
"207","2015","CU","J","J02","9","U2548",0,0,0
"208","2015","CU","J","J02","9","U3087",0,0,0
"209","2015","CU","J","J02","9","U3088",0,0,0
"210","2015","CU","J","J02","9","U3093",1,0,1
"211","2015","CU","J","J02","9","U3094",0,0,0
"212","2015","PI","J","J02","9","U2881",2,1,3
"213","2015","PI","J","J02","9","U2882",2,0,2
"214","2015","PI","J","J02","9","U2883",0,0,0
"215","2015","PI","J","J02","9","U2884",1,0,1
"216","2015","PI","J","J02","9","U2885",1,0,1
"217","2015","PI","J","J02","9","U2886",1,0,1
"218","2015","PI","J","J02","9","U2887",1,0,1
"219","2015","PI","J","J02","9","U2888",3,0,3
"220","2015","PI","J","J02","9","U2889",0,0,0
"221","2015","PI","J","J02","9","U2890",1,0,1
"222","2015","SO","J","J02","9","U593",0,0,0
"223","2015","SO","J","J02","9","U576",0,0,0
"224","2015","SO","J","J02","9","U578",1,0,1
