ufn,spp,collection,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol
U4157,CU,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,lab_motiles
U4158,CU,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U4970,CU,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,0,2,0,NA,lab_motiles
U4971,CU,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2513,PI,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2525,PI,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,NA,lab_motiles
U2530,PI,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,0,NA,lab_motiles
U2861,PI,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,0,0,0,NA,lab_motiles
U2862,PI,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2863,PI,2,6/7/2015,D07,DE169,DN269,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U826,SO,2,6/7/2015,D07,DE169,DN269,0,0,NA,3,3,NA,0,2,0,0,2,0,0,0,0,0,0,0,NA,lab_finescale
U849,SO,2,6/7/2015,D07,DE169,DN269,0,0,NA,2,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale
U861,SO,2,6/7/2015,D07,DE169,DN269,1,0,NA,7,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U840,SO,2,6/7/2015,D07,DE169,DN269,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,lab_finescale
U846,SO,2,6/7/2015,D07,DE169,DN269,1,0,NA,3,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale
U850,SO,2,6/7/2015,D07,DE169,DN269,0,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U847,SO,2,6/7/2015,D07,DE169,DN269,0,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U864,SO,2,6/7/2015,D07,DE169,DN269,0,0,NA,10,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U844,SO,2,6/7/2015,D07,DE169,DN269,2,0,NA,10,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U845,SO,2,6/7/2015,D07,DE169,DN269,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U2918,CU,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2932,CU,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U3027,CU,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U3028,CU,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,lab_motiles
U3029,CU,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2531,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2532,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,lab_motiles
U2533,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,1,0,0,1,2,1,0,0,0,0,0,0,NA,lab_motiles
U2864,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2865,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2866,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2867,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2868,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,1,0,1,0,2,0,0,0,0,0,0,0,NA,lab_motiles
U2869,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_motiles
U2870,PI,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,1,1,0,2,0,0,0,0,0,0,0,NA,lab_motiles
U4710,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,3,0,0,1,4,0,0,0,0,0,0,0,NA,lab_motiles
U4711,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA,lab_motiles
U4712,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U4713,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_motiles
U4720,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,1,0,0,1,2,0,0,0,0,0,0,0,NA,lab_motiles
U4721,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_motiles
U4722,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U4723,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U4756,SO,3,6/7/2015,J09,JE159,JN259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U1044,SO,3,6/7/2015,J09,JE159,JN259,2,1,NA,5,3,NA,1,0,0,0,1,1,0,0,0,0,0,0,NA,lab_finescale
U1023,SO,3,6/7/2015,J09,JE159,JN259,1,0,NA,5,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U1024,SO,3,6/7/2015,J09,JE159,JN259,0,0,NA,2,4,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale
U1025,SO,3,6/7/2015,J09,JE159,JN259,1,0,NA,4,3,NA,3,0,0,0,3,0,0,0,0,0,0,0,NA,lab_finescale
U1026,SO,3,6/7/2015,J09,JE159,JN259,2,0,NA,5,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U1018,SO,3,6/7/2015,J09,JE159,JN259,0,0,NA,8,2,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale
U1019,SO,3,6/7/2015,J09,JE159,JN259,0,0,NA,3,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U1020,SO,3,6/7/2015,J09,JE159,JN259,0,1,NA,12,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U1027,SO,3,6/7/2015,J09,JE159,JN259,2,0,NA,5,5,NA,4,1,0,0,5,3,0,0,0,0,0,0,NA,lab_finescale
U1042,SO,3,6/7/2015,J09,JE159,JN259,2,0,NA,3,3,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale
U1043,SO,3,6/7/2015,J09,JE159,JN259,1,0,NA,12,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale
U2789,CU,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2790,CU,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2791,CU,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA,lab_motiles
U2797,CU,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2909,CU,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2637,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2638,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2639,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,NA,lab_motiles
U2640,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2641,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2842,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2843,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2844,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
U2845,PI,4,6/16/2015,J02,JE180,JN280,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles
